Question,Is Passage 1 Relevant?,Is Passage 2 Relevant?,Is Passage 3 Relevant?
What case defines what an offer is?,Yes,No,Yes
What is a valid offer?,No,Yes,No
What are the principles of an injunction,Yes,Yes,No
What underpins res ipsa loquitor principle,Yes,No,Yes
Can the liability of a subsidiary company be extended to a parent company,No,Yes,No
can you repeat an injunction application in the same court,Yes,Yes,No
battery and assault principles,Yes,Yes,No
the effect of failure to correct an error apparent on the face of the record of appeal,Yes,No,Yes
legal opinion on force majeure,No,No,No
Terms to dissolve a company?,Yes,Yes,Yes
